x_axis,channel_2
10.0,(0.050905345571773765+4.440892098500626e-18j)
9.99875,(0.029976095567768375+7.993605777301128e-18j)
9.9975,(0.003927818888464678+6.217248937900877e-18j)
9.99625,(-0.014809176394551373+3.552713678800501e-18j)
9.995,(-0.019422157257130777+1.7763568394002505e-18j)
9.99375,(-0.011462516135407917-8.881784197001253e-19j)
9.9925,(0.0012122945749407617+0j)
9.99125,(0.009504417873650244-7.105427357601002e-18j)
9.99,(0.007944907012867628-7.105427357601002e-18j)
9.98875,(-0.0031500931325121615-3.996802888650564e-18j)
9.9875,(-0.018747380304254+0j)
9.98625,(-0.03205565244499947+0j)
9.985,(-0.03745453112894884+3.552713678800501e-18j)
9.98375,(-0.032180247425102684+8.881784197001253e-18j)
9.9825,(-0.016705906967671127+1.3322676295501879e-18j)
9.98125,(0.005605355210358461+8.881784197001253e-19j)
9.98,(0.029176998239370422+2.6645352591003758e-18j)
9.97875,(0.04735488080700699-2.6645352591003758e-18j)
9.9775,(0.05426384480735167+4.440892098500626e-18j)
9.97625,(0.047093044095347224-3.552713678800501e-18j)
9.975,(0.027734439425705828-2.6645352591003758e-18j)
9.97375,(0.0025139242976663125-1.3322676295501879e-18j)
9.9725,(-0.020377875563611043+1.7763568394002505e-18j)
9.97125,(-0.034645129678985746+2.6645352591003758e-18j)
9.97,(-0.038672696421452775+0j)
9.96875,(-0.03551491200086028+4.8849813083506885e-18j)
9.9675,(-0.02999814414270957-8.881784197001253e-19j)
9.96625,(-0.02487954278154041+1.7763568394002505e-18j)
9.965,(-0.01884426884278509-1.7763568394002505e-18j)
9.96375,(-0.007990198599476571-7.105427357601002e-18j)
9.9625,(0.010045728230127402-7.105427357601002e-18j)
9.96125,(0.03231506519622796-5.3290705182007515e-18j)
9.96,(0.050293026919653955+1.7763568394002505e-18j)
9.95875,(0.054085148503261495+4.440892098500626e-18j)
9.9575,(0.03886305951387804+7.993605777301128e-18j)
9.95625,(0.009282474636384557+3.552713678800501e-18j)
9.955,(-0.02158044453394942+4.440892098500626e-18j)
9.95375,(-0.0389105673199057+1.7763568394002505e-18j)
9.9525,(-0.03477955637447192-5.3290705182007515e-18j)
9.95125,(-0.013335325492141547-3.552713678800501e-18j)
9.95,(0.011080274319624437-7.993605777301128e-18j)
9.94875,(0.02222711396058496-4.8849813083506885e-18j)
9.9475,(0.011858009557379652+8.881784197001253e-19j)
9.94625,(-0.01488908119194221+3.552713678800501e-18j)
9.945,(-0.04211493564301243+7.105427357601002e-18j)
9.94375,(-0.05240783166726172+7.105427357601002e-18j)
9.9425,(-0.0371792596287509+2.6645352591003758e-18j)
9.94125,(-0.001828393637261172+4.440892098500626e-18j)
9.94,(0.037330142873393264+1.998401444325282e-18j)
9.93875,(0.06236344333053068-2.6645352591003758e-18j)
9.9375,(0.06349746161037866+1.3322676295501879e-18j)
9.93625,(0.04356884510208145-8.881784197001253e-19j)
9.935,(0.014892365992825429-6.661338147750939e-18j)
9.93375,(-0.00893368756984352-2.220446049250313e-18j)
9.9325,(-0.02082769259902074-8.881784197001253e-19j)
9.93125,(-0.022862554597152872+8.881784197001253e-19j)
9.93,(-0.022648582101537265+6.217248937900877e-18j)
9.92875,(-0.02649456517423647+0j)
9.9275,(-0.03425755393997844-8.881784197001253e-19j)
9.92625,(-0.0393292742412423+3.1086244689504384e-18j)
9.925,(-0.033555538087098796-8.881784197001253e-19j)
9.92375,(-0.013565269744210396-1.0658141036401503e-17j)
9.9225,(0.015841223661455222-1.0658141036401503e-17j)
9.92125,(0.043526646754241866-5.7731597280508145e-18j)
9.92,(0.05790489983731763-2.4424906541753442e-18j)
9.91875,(0.05319502560359747-8.881784197001253e-19j)
9.9175,(0.0323123971635373-8.881784197001253e-19j)
9.91625,(0.004937946726083809-1.7763568394002505e-18j)
9.915,(-0.017744248418706705+3.1086244689504384e-18j)
9.91375,(-0.028417783567801363+3.1086244689504384e-18j)
9.9125,(-0.02628244586805923-1.7763568394002505e-18j)
9.91125,(-0.016117852817878014+3.552713678800501e-18j)
9.91,(-0.00498544070306469-8.881784197001253e-19j)
9.90875,(0.0012833067557230962-1.7763568394002505e-18j)
9.9075,(0.00018561631416060464-3.552713678800501e-18j)
9.90625,(-0.007145712933814558-4.440892098500626e-19j)
9.905,(-0.01685461666607555+3.552713678800501e-18j)
9.90375,(-0.023785524268544238+3.552713678800501e-18j)
9.9025,(-0.02311626338220916+1.7763568394002505e-18j)
9.90125,(-0.012160288497068393+4.8849813083506885e-18j)
9.9,(0.00797993412489328-2.220446049250313e-18j)
9.89875,(0.031766265275737275-8.881784197001253e-19j)
9.8975,(0.050532224930007315+9.769962616701377e-18j)
9.89625,(0.055867559423924504-1.7763568394002505e-18j)
9.895,(0.043787638880674905+0j)
9.89375,(0.017394009925015833-8.881784197001253e-19j)
9.8925,(-0.01389530236191503-7.105427357601002e-18j)
9.89125,(-0.03863516384917341-3.552713678800501e-18j)
9.89,(-0.048996371022001585-1.7763568394002505e-18j)
9.88875,(-0.04446761754637963-8.881784197001253e-19j)
9.8875,(-0.03128428551886667+4.440892098500626e-19j)
9.88625,(-0.017884864766390573+2.6645352591003758e-18j)
9.885,(-0.009332463534075647+2.8865798640254073e-18j)
9.88375,(-0.004442299195084159-2.6645352591003758e-18j)
9.8825,(0.0023762173363352217-2.6645352591003758e-18j)
9.88125,(0.01578934440168214-3.1086244689504384e-18j)
9.88,(0.03451413343503896-8.881784197001253e-19j)
9.87875,(0.05043611249650777+5.3290705182007515e-18j)
9.8775,(0.05302319534208741-1.7763568394002505e-18j)
9.87625,(0.03647683556002807-3.552713678800501e-18j)
9.875,(0.004851114863073848-1.7763568394002505e-18j)
9.87375,(-0.028690590336031184-3.552713678800501e-18j)
9.8725,(-0.04865584018496921+3.1086244689504384e-18j)
9.87125,(-0.04616776434000424+0j)
9.87,(-0.02448221294995479+2.6645352591003758e-18j)
9.86875,(0.0026293944735760774+6.217248937900877e-18j)
9.8675,(0.018935934402723426-6.661338147750939e-19j)
9.86625,(0.015427627601850078-4.440892098500626e-18j)
9.865,(-0.004330959534302025-3.552713678800501e-18j)
9.86375,(-0.026495126703796074+5.3290705182007515e-18j)
9.8625,(-0.03544815957845191-3.552713678800501e-18j)
9.86125,(-0.023256218083136593+4.440892098500626e-18j)
9.86,(0.005679702399384862+6.217248937900877e-18j)
9.85875,(0.03740839478403299+4.440892098500626e-19j)
9.8575,(0.05663546167258433+4.440892098500626e-18j)
9.85625,(0.05514826726405424+3.996802888650564e-18j)
9.855,(0.035469128413531066-5.3290705182007515e-18j)
9.85375,(0.008047259068071409-2.6645352591003758e-18j)
9.8525,(-0.015597821753142746-3.1086244689504384e-18j)
9.85125,(-0.029131672026996378+8.881784197001253e-19j)
9.85,(-0.03332730479376753+8.881784197001253e-18j)
9.84875,(-0.033143588891057764+8.881784197001253e-19j)
9.8475,(-0.032673234887829486+1.7763568394002505e-18j)
9.84625,(-0.03177358890001834+1.7763568394002505e-18j)
9.845,(-0.026617079594506682+8.881784197001253e-19j)
9.84375,(-0.0134325234838788-1.7763568394002505e-18j)
9.8425,(0.007517972942284254+0j)
9.84125,(0.030701183173388668-3.552713678800501e-18j)
9.84,(0.047746631113575036-2.8865798640254073e-18j)
9.83875,(0.051925574768052415+3.552713678800501e-18j)
9.8375,(0.04175460351085421+8.881784197001253e-19j)
9.83625,(0.021552818692238646+8.881784197001253e-18j)
9.835,(-0.001108602467201438+0j)
9.83375,(-0.01920573435901691+4.440892098500626e-18j)
9.8325,(-0.028985472625307394+1.3322676295501879e-18j)
9.83125,(-0.03039769575473407-2.6645352591003758e-18j)
9.83,(-0.025711143755896785-2.6645352591003758e-18j)
9.82875,(-0.017782896106104912-6.217248937900877e-18j)
9.8275,(-0.009154375328639639-5.3290705182007515e-18j)
9.82625,(-0.0020229011718151356-3.1086244689504384e-18j)
9.825,(0.0017466585591088518+2.220446049250313e-18j)
9.82375,(0.0012837617142265358+1.7763568394002505e-18j)
9.8225,(-0.0022108333910628593+1.7763568394002505e-18j)
9.82125,(-0.005116739465486631+5.3290705182007515e-18j)
9.82,(-0.0027904536163603205+2.8865798640254073e-18j)
9.81875,(0.007521577864261772+1.7763568394002505e-18j)
9.8175,(0.023952395701648695+6.217248937900877e-18j)
9.81625,(0.039617317808096755+1.7763568394002505e-18j)
9.815,(0.045525452704606624+0j)
9.81375,(0.03558019075983576-1.0658141036401503e-17j)
9.8125,(0.010734971548109566-6.217248937900877e-18j)
9.81125,(-0.02051753091870926-7.993605777301128e-18j)
9.81,(-0.04605097081865782-8.881784197001253e-19j)
9.80875,(-0.05632555015521878+2.6645352591003758e-18j)
9.8075,(-0.049212956076273996+5.3290705182007515e-18j)
9.80625,(-0.030469548972014406+6.439293542825908e-18j)
9.805,(-0.009651121909779101+2.6645352591003758e-18j)
9.80375,(0.005786605950094375+8.881784197001253e-19j)
9.8025,(0.014313878581262155-5.10702591327572e-18j)
9.80125,(0.019676293778033847-4.8849813083506885e-18j)
9.8,(0.026497237798041064-7.993605777301128e-18j)
9.79875,(0.03549126124177587-1.7763568394002505e-18j)
9.7975,(0.04192449270640873+1.7763568394002505e-18j)
9.79625,(0.03864770059301098-1.7763568394002505e-18j)
9.795,(0.02170379412503147+3.552713678800501e-18j)
9.79375,(-0.005498669344251704+1.7763568394002505e-18j)
