x_axis,channel_2
10.0,(0.048889758752273395+4.929390229335695e-17j)
9.99875,(-0.021250068378268105+0j)
9.9975,(-0.06179114091005914+2.4646951146678476e-17j)
9.99625,(-0.06455961725158113-4.4408920985006264e-17j)
9.995,(-0.0492678602695766-3.019806626980426e-17j)
9.99375,(-0.031678919945615946-5.595524044110789e-17j)
9.9925,(-0.0051357630979443234+1.3322676295501878e-17j)
9.99125,(0.04218854681779041+6.439293542825908e-18j)
9.99,(0.09642793131348974+3.952393967665557e-17j)
9.98875,(0.1152389386397075+8.570921750106209e-17j)
9.9875,(0.06463843443841265-2.1316282072803006e-17j)
9.98625,(-0.04012451423312786-9.769962616701377e-18j)
9.985,(-0.13535005397800745-2.042810365310288e-17j)
9.98375,(-0.1565775168154392-2.042810365310288e-17j)
9.9825,(-0.0903872684119429-3.197442310920451e-17j)
9.98125,(0.01690439068726681-1.2656542480726785e-17j)
9.98,(0.09847482312034966+1.709743457922741e-17j)
9.97875,(0.11568305446372529+6.661338147750939e-18j)
9.9775,(0.07608043404687725+8.881784197001253e-18j)
9.97625,(0.015364581154631594+5.684341886080802e-17j)
9.975,(-0.031669703008768466+3.064215547965432e-17j)
9.97375,(-0.04754578481700989+3.019806626980426e-17j)
9.9725,(-0.033440927911789514-1.865174681370263e-17j)
9.97125,(-0.004793383234680675-8.681944052568724e-17j)
9.97,(0.015614701380291167-3.419486915845482e-17j)
9.96875,(0.010501415573584154-5.639932965095795e-17j)
9.9675,(-0.01708519734012785+3.730349362740526e-17j)
9.96625,(-0.041727008630030926-1.3145040611561853e-16j)
9.965,(-0.03509569592741878-3.4638958368304884e-17j)
9.96375,(0.006767307268287624+3.68594044175552e-17j)
9.9625,(0.05523536850897554+3.197442310920451e-17j)
9.96125,(0.07131831501831994+2.1094237467877975e-17j)
9.96,(0.039043616918227546-2.886579864025407e-17j)
9.95875,(-0.021389826303707993-8.926193117986259e-17j)
9.9575,(-0.07141547703554874-3.574918139293004e-17j)
9.95625,(-0.08317377916642818-1.7763568394002505e-17j)
9.955,(-0.0533613362194254-1.7763568394002505e-18j)
9.95375,(0.003410807975921955-5.595524044110789e-17j)
9.9525,(0.06587178513927261-6.217248937900877e-18j)
9.95125,(0.10963542598587141-2.1094237467877975e-17j)
9.95,(0.10976124912098882-4.75175454539567e-17j)
9.94875,(0.05422337020663875-5.46229728115577e-17j)
9.9475,(-0.038094504656560176-3.552713678800501e-18j)
9.94625,(-0.11818796574310501-8.881784197001253e-18j)
9.945,(-0.13766317910724696+3.4638958368304884e-17j)
9.94375,(-0.08729541454747256+7.993605777301128e-18j)
9.9425,(-0.005755112029184801-5.1514348342607266e-17j)
9.94125,(0.05350911550764857-2.220446049250313e-19j)
9.94,(0.06649423862948273+5.928590951498336e-17j)
9.93875,(0.05093927656890692-1.6431300764452316e-17j)
9.9375,(0.03763600764037936+2.7533531010703882e-17j)
9.93625,(0.035185935824007954+3.019806626980426e-17j)
9.935,(0.026965016841998826-3.419486915845482e-17j)
9.93375,(-0.00010134574012567299-6.039613253960852e-17j)
9.9325,(-0.03239611759604316-2.5757174171303633e-17j)
9.93125,(-0.041694054594016955-3.530509218307998e-17j)
9.93,(-0.01909054105957081+4.929390229335695e-17j)
9.92875,(0.010003081764157791+6.794564910705958e-17j)
9.9275,(0.010079909328117644+7.283063041541027e-17j)
9.92625,(-0.025665350637241312+1.0480505352461478e-16j)
9.925,(-0.06441033478970289+1.3322676295501878e-17j)
9.92375,(-0.0637227100087815+7.549516567451065e-18j)
9.9225,(-0.012330033648124164-1.1546319456101629e-17j)
9.92125,(0.05848705911296545-4.729550084903167e-17j)
9.92,(0.10146577015135552-4.04384725446102e-17j)
9.91875,(0.0901272816374289-3.2909168505131524e-18j)
9.9175,(0.03394308117272313+5.0319311825919285e-17j)
9.91625,(-0.0338733054395786+1.5647957586350974e-17j)
9.915,(-0.0784024904871596+9.907356263737669e-17j)
9.91375,(-0.07845641422371195+6.110099492436557e-17j)
9.9125,(-0.033625741368025826-4.38557413336367e-17j)
9.91125,(0.033548339866632464+5.1416658470597414e-17j)
9.91,(0.08385091456428384+2.691981481672818e-17j)
9.90875,(0.08151855224244232+4.519226416310761e-17j)
9.9075,(0.02019902592390921+3.484063027835119e-17j)
9.90625,(-0.06686818004130309-2.886061998927808e-17j)
9.905,(-0.12629752107699024+1.3010800428885455e-17j)
9.90375,(-0.12096024213899087+1.865174681370263e-17j)
9.9025,(-0.05339294127331232-1.1790222134813373e-17j)
9.90125,(0.04122030728856699+2.6336366894055546e-17j)
9.9,(0.12081740739620621-3.018569214807679e-17j)
9.89875,(0.15602702547658048-4.183230037014688e-17j)
9.8975,(0.1337269890075801-5.544210428881025e-17j)
9.89625,(0.05616293339757976+1.083202322044786e-17j)
9.895,(-0.05343110371783805-1.301709259491206e-17j)
9.89375,(-0.14795902426950006+2.5573858136360565e-17j)
9.8925,(-0.1746596738282643+3.308039093390895e-17j)
9.89125,(-0.11212221823859404-5.043859512489655e-18j)
9.89,(0.005111162566892702+3.846187907290909e-17j)
9.88875,(0.10458070751558708-1.2110558300108691e-17j)
9.8875,(0.12860183537771205-2.199561816228662e-17j)
9.88625,(0.07653995272047-1.4097247695141165e-18j)
9.885,(-0.001714393641557697-4.6083072440987654e-17j)
9.88375,(-0.05254813959301625+4.5759132865294595e-17j)
9.8825,(-0.059123382269623735+2.3128527413679548e-17j)
9.88125,(-0.04014386087652416+1.6112931317769938e-17j)
9.88,(-0.017825252061887484-1.4307179556959354e-17j)
9.87875,(0.0045559359257178805-3.883692134031158e-17j)
9.8775,(0.03321595904527937-1.4816963814061136e-17j)
9.87625,(0.061130339093372586-4.655190989429265e-17j)
9.875,(0.06540641133903717-4.110148530090783e-18j)
9.87375,(0.0311299773206258+6.441082957783468e-17j)
9.8725,(-0.02646456747124142+1.7700578356674523e-17j)
9.87125,(-0.06983784201336747+4.114012251976813e-18j)
9.87,(-0.07139943414033033-6.996109149739814e-17j)
9.86875,(-0.03688277002652515-4.1402501899474685e-17j)
9.8675,(0.0032424887479966316-4.7081866441622993e-17j)
9.86625,(0.022753093356124778+2.6191879631419524e-17j)
9.865,(0.018627794570734393+5.561598647285661e-17j)
9.86375,(0.005238750988649045-3.630012584138819e-20j)
9.8625,(-0.003012249349819811-1.6571924305202313e-17j)
9.86125,(-0.00026650477243813953+1.339558695983548e-17j)
9.86,(0.013936871864160764-1.7336108505800622e-17j)
9.85875,(0.03690087577693856+3.939593190659004e-18j)
9.8575,(0.057967285904944287-1.1226840892511834e-17j)
9.85625,(0.05729030463229169+4.106203666597314e-17j)
9.855,(0.01946911189854444+2.254634431893434e-17j)
9.85375,(-0.046446199201116437-2.2177082390868276e-17j)
9.8525,(-0.10391163572373455+3.2432201369871996e-17j)
9.85125,(-0.11327375554988278+6.881201955413553e-17j)
9.85,(-0.06444326816293182+6.14402989937794e-17j)
9.84875,(0.013443698022548493+1.4827997956117365e-17j)
9.8475,(0.07517408923991756+3.6971093753033306e-17j)
9.84625,(0.09280444558302359+4.613154527451715e-17j)
9.845,(0.06905691207670207-4.962950275004795e-18j)
9.84375,(0.024651189665797654+1.9095836023552694e-17j)
9.8425,(-0.020360969598505092-1.0008636543274591e-17j)
9.84125,(-0.052147231731216395-5.882998306067728e-17j)
9.84,(-0.05892058108822096+2.275646327731751e-19j)
9.83875,(-0.033231505044927064-3.7162870086655265e-17j)
9.8375,(0.016246812057019232-1.5902398062539432e-17j)
9.83625,(0.060327620507862334+1.3661930263753157e-17j)
