x_axis,channel_2
10.0,(-0.06683292973205557-3.5388271419145075e-17j)
9.99875,(-0.004343097091825567+3.9195870242723976e-17j)
9.9975,(0.057037764763820754+6.13695339800364e-17j)
9.99625,(0.00708446857686315-2.9116932180309237e-18j)
9.995,(-0.09684721816402102+4.165961065798091e-17j)
9.99375,(-0.11395925763156603+3.225260179972716e-17j)
9.9925,(-0.02211818519124789-1.1646772872123695e-17j)
9.99125,(0.061229769322689497+8.816278302562919e-18j)
9.99,(0.05538467376920292-1.410570641162905e-17j)
9.98875,(0.0172843556772969+6.048969587504923e-17j)
9.9875,(0.030694226984366933-4.4978718560030297e-17j)
9.98625,(0.07232549844588322-4.2765976604798426e-17j)
9.985,(0.0563079705190647+2.903553404205053e-17j)
9.98375,(-0.02798603491882333+7.846005094262133e-17j)
9.9825,(-0.09693075884246873-7.671012726395386e-18j)
9.98125,(-0.0857901883737411+1.1105964490299739e-16j)
9.98,(-0.020676532246336317+7.195219590269891e-17j)
9.97875,(0.03252589204742792+4.7928841428486296e-17j)
9.9775,(0.04333085974996512-5.4885824892456876e-17j)
9.97625,(0.022550389201665428-4.6843192297952056e-17j)
9.975,(-0.008733631714260372-1.2325614215574065e-17j)
9.97375,(-0.030601655083468845-4.151067743727375e-17j)
9.9725,(-0.028608664292984504-4.426155655103472e-17j)
9.97125,(-0.008260310756783898+1.0977196401988795e-17j)
9.97,(0.011388683709593879-1.897615211551394e-17j)
9.96875,(0.029661516542804186+1.1335626369039714e-17j)
9.9675,(0.0630844490586325+5.102036661878621e-19j)
9.96625,(0.09690884116518908-5.474967245490747e-17j)
9.965,(0.0752886967308284+6.504298902608552e-18j)
9.96375,(-0.023398088852129413+3.720868474146228e-17j)
9.9625,(-0.12969337816702903-5.289730235335361e-19j)
9.96125,(-0.15185702182118926-4.209195281402152e-17j)
9.96,(-0.08927632874325334+2.6376858902584035e-17j)
9.95875,(-0.023361229720309257-1.6651813517229556e-17j)
9.9575,(0.0028648859644954884-7.493094591034197e-18j)
9.95625,(0.03240195376604915+4.516959735759139e-17j)
9.955,(0.10037041486058813-3.789402385264397e-17j)
9.95375,(0.1551555650262192-2.214116530501927e-17j)
9.9525,(0.12469812027216524-7.33789821815889e-17j)
9.95125,(0.024646591551309407-1.5822295499552772e-17j)
9.95,(-0.05848115681235505+6.488896285907116e-18j)
9.94875,(-0.07757096191550326+6.2139485669754656e-18j)
9.9475,(-0.06378775160331328+6.998227209185953e-18j)
9.94625,(-0.05831851687548669+3.2490600017462843e-17j)
9.945,(-0.059375168997727636-2.1854640470660904e-18j)
9.94375,(-0.0492747058632054+2.222182658865462e-17j)
9.9425,(-0.028190527994471984+1.4744075732651262e-17j)
9.94125,(0.00011887783529783799+1.1079944153133866e-16j)
9.94,(0.03985050209486392+1.5450217932013038e-17j)
9.93875,(0.07825583196476857-6.2721179929140134e-18j)
9.9375,(0.0827235668918153+3.92621358658547e-17j)
9.93625,(0.04837175525403515+2.8287059836032604e-17j)
9.935,(0.016764998545332147-2.180195650444331e-17j)
9.93375,(0.016598035446944437-6.358251632906593e-18j)
9.9325,(0.017125808624098897-4.9277992519965084e-18j)
9.93125,(-0.01953449326606357+5.2729200300241426e-17j)
9.93,(-0.06817015994423835-3.5954696581660885e-17j)
9.92875,(-0.07535772003421859-6.105955284610666e-17j)
9.9275,(-0.04662808670218489+6.175680176005424e-18j)
9.92625,(-0.03528053483842079+9.313866656679563e-17j)
9.925,(-0.046415300189374946+6.308557025002133e-17j)
9.92375,(-0.023294256777229672-1.651861596897024e-17j)
9.9225,(0.050635036186819825-1.0765009656398804e-17j)
9.92125,(0.10587862312873535-5.561086571024852e-17j)
9.92,(0.08558768594535279-3.541417000680759e-17j)
9.91875,(0.03145870716641536+3.233116591876867e-17j)
9.9175,(0.012560522429069037-5.081735084856955e-17j)
9.91625,(0.015915101370052444+7.817934493949181e-18j)
9.915,(-0.01577961682510466+3.6183933271629734e-17j)
9.91375,(-0.06727477013507147+9.160667089896891e-18j)
9.9125,(-0.06503513355954255+3.8487293122377036e-17j)
9.91125,(-0.008404448006416397+4.2370604971799937e-17j)
9.91,(0.011281608413286764-2.7286046456053623e-17j)
9.90875,(-0.043908721141442994+8.236262141606557e-18j)
9.9075,(-0.08278848755682619-1.2374784973317132e-17j)
9.90625,(-0.018425274927219733+3.083582976233627e-17j)
9.905,(0.0905970860472317-2.701392690626768e-17j)
9.90375,(0.11783928212807895+6.16188745733309e-17j)
9.9025,(0.048673038006719474-4.3870671235722974e-17j)
9.90125,(-0.013444088567749733-1.727452462018219e-17j)
9.9,(-0.009932383719811286+9.05154239968318e-18j)
9.89875,(0.0032945015536635794+2.4266289136260517e-17j)
9.8975,(-0.028090121232623985+4.0570107476236414e-17j)
9.89625,(-0.06202004267251032+6.649853080187558e-18j)
9.895,(-0.03673449466602775+2.226716392121439e-18j)
9.89375,(0.021255031894112757-1.6431290303165984e-17j)
9.8925,(0.03599018430034375+1.0560692472395902e-16j)
9.89125,(-0.004586237476921507+8.199090728741966e-17j)
9.89,(-0.04106659418986736-1.7442891521841982e-17j)
9.88875,(-0.033398005054916954-6.7776099642066e-17j)
9.8875,(0.0012402619991545086-2.524303100226845e-18j)
9.88625,(0.0361945146717539+5.724269425584e-17j)
9.885,(0.06285366389705624-9.467576001196395e-18j)
9.88375,(0.06584026180059785-5.390861912095022e-17j)
9.8825,(0.026642187249846867-3.40549176325691e-17j)
9.88125,(-0.03263657164675639-4.70167079462107e-17j)
9.88,(-0.05917563669283931+2.8913351500858414e-17j)
9.87875,(-0.043484453208961694+1.8199652547024898e-17j)
9.8775,(-0.03434645728299065-2.7200881938581858e-17j)
9.87625,(-0.052402004969458606+1.4108301036035488e-17j)
9.875,(-0.04288918743164888+2.808578330427183e-17j)
9.87375,(0.03619225662794415+9.138107884680422e-17j)
9.8725,(0.12259054780209243+6.230850680783445e-17j)
9.87125,(0.11624544013519138+1.8361488174067756e-17j)
9.87,(0.019520800289977335-1.8368507504415264e-17j)
9.86875,(-0.06152829650392973-5.873801393240761e-17j)
9.8675,(-0.05997890170539851-5.40496721065545e-17j)
9.86625,(-0.022609677521155846-1.1742938710308283e-17j)
9.865,(-0.01899008583360013-4.6024222155819923e-17j)
9.86375,(-0.04017666102025604+5.3136669828835715e-18j)
9.8625,(-0.03356623673477178+7.313254055474039e-17j)
9.86125,(0.005681296721961493+9.71462128484399e-17j)
9.86,(0.03447190715780657+1.2542865502751716e-16j)
9.85875,(0.03231265492845007-1.777415245595286e-17j)
