x_axis,channel_2
10.0,0j
9.99875,0j
9.9975,0j
9.99625,0j
9.995,0j
9.99375,0j
9.9925,0j
9.99125,0j
9.99,0j
9.98875,0j
9.9875,0j
9.98625,0j
9.985,0j
9.98375,0j
9.9825,0j
9.98125,0j
9.98,0j
9.97875,0j
9.9775,0j
9.97625,0j
9.975,0j
9.97375,0j
9.9725,0j
9.97125,0j
9.97,0j
9.96875,0j
9.9675,0j
9.96625,0j
9.965,0j
9.96375,0j
9.9625,0j
9.96125,0j
9.96,0j
9.95875,0j
9.9575,0j
9.95625,0j
9.955,0j
9.95375,0j
9.9525,0j
9.95125,0j
9.95,0j
9.94875,0j
9.9475,0j
9.94625,0j
9.945,0j
9.94375,0j
9.9425,0j
9.94125,0j
9.94,0j
9.93875,0j
9.9375,0j
9.93625,0j
9.935,0j
9.93375,0j
9.9325,0j
9.93125,0j
9.93,0j
9.92875,0j
9.9275,0j
9.92625,0j
9.925,0j
9.92375,0j
9.9225,0j
9.92125,0j
9.92,0j
9.91875,0j
9.9175,0j
9.91625,0j
9.915,0j
9.91375,0j
9.9125,0j
9.91125,0j
9.91,0j
9.90875,0j
9.9075,0j
9.90625,0j
9.905,0j
9.90375,0j
9.9025,0j
9.90125,0j
9.9,0j
9.89875,0j
9.8975,0j
9.89625,0j
9.895,0j
9.89375,0j
9.8925,0j
9.89125,0j
9.89,0j
9.88875,0j
9.8875,0j
9.88625,0j
9.885,0j
9.88375,0j
9.8825,0j
9.88125,0j
9.88,0j
9.87875,0j
9.8775,0j
9.87625,0j
9.875,0j
9.87375,0j
9.8725,0j
9.87125,0j
9.87,0j
9.86875,0j
9.8675,0j
9.86625,0j
9.865,0j
9.86375,0j
9.8625,0j
9.86125,0j
9.86,0j
9.85875,0j
9.8575,0j
9.85625,0j
9.855,0j
9.85375,0j
9.8525,0j
9.85125,0j
9.85,0j
9.84875,0j
9.8475,0j
9.84625,0j
9.845,0j
9.84375,0j
9.8425,0j
9.84125,0j
