x_axis,channel_2
10.0,(-0.028273346321961827+1.7763568394002505e-18j)
9.99875,(-0.001963572178352262+8.881784197001253e-19j)
9.9975,(0.022093198000887798-3.552713678800501e-18j)
9.99625,(0.039399392658003525-2.220446049250313e-18j)
9.995,(0.04578312997214483+0j)
9.99375,(0.038349183275221015+2.6645352591003758e-18j)
9.9925,(0.01763804004019326+5.3290705182007515e-18j)
9.99125,(-0.01080083060737097+1.7763568394002505e-18j)
9.99,(-0.037215555133447153+0j)
9.98875,(-0.05114664522473413-5.7731597280508145e-18j)
9.9875,(-0.04604230122604397-4.440892098500626e-19j)
9.98625,(-0.022516702261965393-1.7763568394002505e-18j)
9.985,(0.011543348085850348-1.7763568394002505e-18j)
9.98375,(0.04405085443880715+8.881784197001253e-19j)
9.9825,(0.06335282952456747+0j)
9.98125,(0.062287853928268334-3.552713678800501e-18j)
9.98,(0.04024923748805904+2.220446049250313e-18j)
9.97875,(0.003064814231539098+1.7763568394002505e-18j)
9.9775,(-0.03868247551024332+1.7763568394002505e-18j)
9.97625,(-0.07224887658309352+2.6645352591003758e-18j)
9.975,(-0.08597243065974744-1.7763568394002505e-18j)
9.97375,(-0.0729508402577518-1.7763568394002505e-18j)
9.9725,(-0.034349025886088964+2.6645352591003758e-18j)
9.97125,(0.019243366856364175+8.881784197001253e-19j)
9.97,(0.07000845743352889-2.220446049250313e-18j)
9.96875,(0.09894333180056686+0j)
9.9675,(0.09382141009337688-2.6645352591003758e-18j)
9.96625,(0.05537408317939867+1.7763568394002505e-18j)
9.965,(-0.001894751556472304-1.7763568394002505e-18j)
9.96375,(-0.055458330693438786-4.440892098500626e-19j)
9.9625,(-0.08473587608343565+3.552713678800501e-18j)
9.96125,(-0.08034332511091219+7.993605777301128e-18j)
9.96,(-0.047790940386419185+0j)
9.95875,(-0.0037500393036333578+3.1086244689504384e-18j)
9.9575,(0.03284696457921847-2.6645352591003758e-18j)
9.95625,(0.04979636391827821+0j)
9.955,(0.04588438701134702+4.440892098500626e-18j)
9.95375,(0.0287319414249188+8.881784197001253e-19j)
9.9525,(0.008493996731883453+3.552713678800501e-18j)
9.95125,(-0.008079740284739803-3.552713678800501e-18j)
9.95,(-0.019569082276516495-1.3322676295501879e-18j)
9.94875,(-0.027352283110378593-3.552713678800501e-18j)
9.9475,(-0.03144651452587027+8.881784197001253e-19j)
9.94625,(-0.028575332358692796+1.7763568394002505e-18j)
9.945,(-0.014416997869604476-5.3290705182007515e-18j)
9.94375,(0.011452261616447967+8.881784197001253e-19j)
9.9425,(0.0418729745830232-1.7763568394002505e-18j)
9.94125,(0.06324826794701303-7.105427357601002e-18j)
9.94,(0.06196745472686297+0j)
9.93875,(0.03273969952864958+1.7763568394002505e-18j)
9.9375,(-0.0163897140401602+7.105427357601002e-18j)
9.93625,(-0.06605401781389993+2.6645352591003758e-18j)
9.935,(-0.09424365397401763+1.3322676295501879e-18j)
9.93375,(-0.08717919637652856-1.7763568394002505e-18j)
9.9325,(-0.04640205879424407+0j)
9.93125,(0.011825204326702846+1.7763568394002505e-18j)
9.93,(0.0643615697617293+1.1102230246251566e-18j)
9.92875,(0.091871213853554+3.996802888650564e-18j)
9.9275,(0.08673042852783718-1.3322676295501879e-18j)
9.92625,(0.05458985193596446-3.552713678800501e-18j)
9.925,(0.009832896801671997-2.220446049250313e-18j)
9.92375,(-0.031700660599276245-1.7763568394002505e-18j)
9.9225,(-0.05865847690440096+2.6645352591003758e-18j)
9.92125,(-0.0664662405114063+5.3290705182007515e-18j)
9.92,(-0.05630834026445399+7.105427357601002e-18j)
9.91875,(-0.03284605331284423-4.440892098500626e-18j)
9.9175,(-0.0025481262715843036+2.6645352591003758e-18j)
9.91625,(0.026988138121862734+2.220446049250313e-18j)
9.915,(0.047724091863236354+4.440892098500626e-19j)
9.91375,(0.05296513066130073+6.217248937900877e-18j)
9.9125,(0.04012356766044252-1.7763568394002505e-18j)
9.91125,(0.012911347539316782-6.217248937900877e-18j)
9.91,(-0.01893249712895124-2.6645352591003758e-18j)
9.90875,(-0.04307054831053086-7.105427357601002e-18j)
9.9075,(-0.04983300637868592+0j)
9.90625,(-0.0366154337222918+2.6645352591003758e-18j)
9.905,(-0.008991064717514036+3.552713678800501e-18j)
9.90375,(0.022030886225915623+7.105427357601002e-18j)
9.9025,(0.044977034748224475+4.440892098500626e-18j)
9.90125,(0.05239818093754792-6.217248937900877e-18j)
9.9,(0.042818170019223875+1.7763568394002505e-18j)
9.89875,(0.019899812667029376+0j)
9.8975,(-0.009801675396449718-4.440892098500626e-18j)
9.89625,(-0.0388066829212067-8.881784197001253e-19j)
9.895,(-0.05971842188187208-3.996802888650564e-18j)
9.89375,(-0.0659220013032112+1.7763568394002505e-18j)
9.8925,(-0.05306578459666461+4.440892098500626e-18j)
9.89125,(-0.021507010147536382+1.0658141036401503e-17j)
9.89,(0.02162540694195933+4.440892098500626e-19j)
9.88875,(0.06287199062477973+0j)
9.8875,(0.08658502611540957+8.881784197001253e-19j)
9.88625,(0.0816672546367385-5.3290705182007515e-18j)
9.885,(0.047619077029704485-1.0658141036401503e-17j)
9.88375,(-0.0037855681992364546-5.3290705182007515e-18j)
9.8825,(-0.052865626332202896-3.3306690738754695e-18j)
9.88125,(-0.08072392438717407+5.3290705182007515e-18j)
9.88,(-0.07786395465004302+8.881784197001253e-18j)
9.87875,(-0.04814921866840904+4.440892098500626e-18j)
9.8775,(-0.006083618390803324+8.881784197001253e-19j)
9.87625,(0.03083018426339556+0j)
9.875,(0.0502442254812142+7.105427357601002e-18j)
9.87375,(0.04930775135958038-4.440892098500626e-18j)
9.8725,(0.033528921566829135-4.440892098500626e-18j)
9.87125,(0.011880786979997284-5.3290705182007515e-18j)
9.87,(-0.008204130324753133-3.552713678800501e-18j)
9.86875,(-0.022975878782440267-4.8849813083506885e-18j)
9.8675,(-0.03122788186498895-4.440892098500626e-18j)
9.86625,(-0.03194627342991274+1.7763568394002505e-18j)
9.865,(-0.02344319019346515-1.7763568394002505e-18j)
9.86375,(-0.005074634750692347-3.552713678800501e-18j)
9.8625,(0.019870974018278448+2.6645352591003758e-18j)
9.86125,(0.042972385467780844-2.220446049250313e-19j)
9.86,(0.05318691406021893-7.105427357601002e-18j)
9.85875,(0.04246071689554619-1.7763568394002505e-18j)
9.8575,(0.011249968280443053+0j)
9.85625,(-0.029815456904616518-1.5543122344752192e-18j)
9.855,(-0.06387352121107276+0j)
9.85375,(-0.07570795370257034+8.881784197001253e-19j)
9.8525,(-0.05931380152884196+2.6645352591003758e-18j)
9.85125,(-0.02090036367132874+1.199040866595169e-17j)
9.85,(0.02428854995786068+8.881784197001253e-18j)
9.84875,(0.05937556727061903+7.105427357601002e-18j)
9.8475,(0.07325417362934858-8.881784197001253e-19j)
9.84625,(0.06419341371779214+8.881784197001253e-19j)
9.845,(0.0384762693811384-8.881784197001253e-19j)
9.84375,(0.0058994845571097585+0j)
9.8425,(-0.024638037458595382-3.552713678800501e-18j)
9.84125,(-0.047139714271301265+4.440892098500626e-18j)
