x_axis,channel_2
10.0,(0.07013143679770627-6.360071598355169e-18j)
9.99875,(0.03658014601612165-1.5398068080228302e-17j)
9.9975,(-0.04448830302473382+4.574788342676525e-18j)
9.99625,(-0.11836514220846227-2.1200238661183895e-18j)
9.995,(-0.1289568230503308+1.5844388894147965e-17j)
9.99375,(-0.05989126269299995+2.7002409242139487e-17j)
9.9925,(0.05146727006652313+2.0307597033344575e-17j)
9.99125,(0.13824392881698847-4.9095289531162704e-18j)
9.99,(0.1484247035313657-6.01696247265443e-17j)
9.98875,(0.07717351185323822-2.0809707949004192e-17j)
9.9875,(-0.03345371220524055-9.484317295792796e-18j)
9.98625,(-0.12251237221947177-4.46320813919661e-19j)
9.985,(-0.14390005022509278+1.550964828370822e-17j)
9.98375,(-0.08647171670583925+1.0600119330591948e-17j)
9.9825,(0.024248473335467084+2.0977078254224066e-17j)
9.98125,(0.13716637943147633+2.0530757440304406e-17j)
9.98,(0.1944074682369598+1.849441872679595e-17j)
9.97875,(0.15609178396570406-1.947074550724521e-17j)
9.9775,(0.025358809740772807-1.4463583876084012e-17j)
9.97625,(-0.14154557120436637-1.3947525434989406e-17j)
9.975,(-0.25597998791845045+1.3278044214109913e-17j)
9.97375,(-0.2464518825897853-2.064233764378432e-18j)
9.9725,(-0.10864235549458552+9.972480686017425e-18j)
9.97125,(0.08272536501143565+1.2385402586270591e-17j)
9.97,(0.21698702550906504+1.2831723400190253e-17j)
9.96875,(0.22058755406761+1.3445414519329786e-17j)
9.9675,(0.10733016721766986+1.4003315536729362e-17j)
9.96625,(-0.03376919835072772+3.0600870804366753e-17j)
9.965,(-0.10541822445828514-4.128467528756864e-18j)
9.96375,(-0.07264130930550658-3.9248336574060184e-17j)
9.9625,(0.017088061207280146-3.202351839873567e-17j)
9.96125,(0.0774560390458297-2.1925509983803346e-17j)
9.96,(0.053300451206106436-2.4045533849921736e-17j)
9.95875,(-0.038905647811251436-6.4158617000951266e-18j)
9.9575,(-0.1287580330562419+9.59589749927271e-18j)
9.95625,(-0.14869650668259496-1.640228991154754e-17j)
9.955,(-0.08274995040866834+1.0600119330591948e-17j)
9.95375,(0.027655981742501008-1.1297495602341418e-17j)
