x_axis,channel_2
10.0,(-0.12955121911096498-1.1102230246251565e-16j)
9.99875,(-0.030031095480034704-1.242665096257839e-16j)
9.9975,(0.03213200154251433+1.0503208545953324e-18j)
9.99625,(0.03505281394194611-7.901123331988114e-17j)
9.995,(0.0067052308705321485+1.5778529741453107e-16j)
9.99375,(-0.03126264606614538+4.683753385137379e-17j)
9.9925,(-0.035741672888759735+1.2088854223213374e-16j)
9.99125,(0.01721173481533941-3.480288973678469e-17j)
9.99,(0.060416378461060696-3.0357660829594124e-17j)
9.98875,(0.045397086163210906-1.214306433183765e-17j)
9.9875,(0.03332761594188527-1.0343288725511712e-16j)
9.98625,(0.045411256174017166-1.5785983631388945e-16j)
9.985,(0.010509257880584412-8.456776945386935e-17j)
9.98375,(-0.052506386523319536+7.068998164605489e-17j)
9.9825,(-0.041425476699987536+5.204170427930421e-17j)
9.98125,(0.029573425721309318+1.1752751549742868e-16j)
9.98,(0.06031579022439869+1.682681771697503e-16j)
9.97875,(0.02516526364578682+1.3877787807814457e-17j)
9.9775,(-0.039217397760923076-8.673617379884035e-17j)
9.97625,(-0.08580202499089853+1.1622647289044608e-16j)
9.975,(-0.06433024599206867-1.5265566588595902e-16j)
9.97375,(0.009716157253392468-1.5417354892743873e-16j)
9.9725,(0.05938388029179387-4.683753385137379e-17j)
9.97125,(0.0658703088263942-1.9081958235744878e-17j)
9.97,(0.05937489776260804+1.474514954580286e-16j)
9.96875,(0.03519991952913207+1.0581813203458523e-16j)
9.9675,(0.0012152250427567113+1.1611805267319752e-16j)
9.96625,(-0.0034883893554815645-1.4181364416110398e-16j)
9.965,(0.00653076253515483-1.212138028838794e-16j)
9.96375,(-0.007073873621059895+1.3444106938820255e-17j)
9.9625,(-0.02968747187487257+1.734723475976807e-17j)
9.96125,(-0.046348799156155265-3.0531133177191805e-16j)
9.96,(-0.06327096356131355+1.3183898417423734e-16j)
9.95875,(-0.05791372286475279+1.3877787807814457e-17j)
9.9575,(-0.027016646760722053+1.9081958235744878e-16j)
