x_axis,channel_2
10.0,(0.03814723998566683-6.750155989720952e-17j)
9.99875,(-0.06955802980159036-5.062616992290714e-17j)
9.9975,(-0.11836928715941855-7.105427357601002e-17j)
9.99625,(-0.07979151775775054+2.842170943040401e-17j)
9.995,(-0.02039368608274222+8.171241461241152e-17j)
9.99375,(-0.01219697865170498+1.1102230246251565e-16j)
9.9925,(-0.03950880521468481+1.6608936448392342e-16j)
9.99125,(-0.02622955638195137+2.398081733190338e-17j)
9.99,(0.05392871291617807-6.217248937900877e-17j)
9.98875,(0.13466845464631433-5.5067062021407764e-17j)
9.9875,(0.13645170362534922-1.2878587085651815e-16j)
9.98625,(0.05655628247402473-7.37188088351104e-17j)
9.985,(-0.04227516721787362+0j)
9.98375,(-0.10756825701158564-1.5765166949677225e-17j)
9.9825,(-0.12872883568146898+7.904787935331114e-17j)
9.98125,(-0.10705765840773228+5.5067062021407764e-17j)
9.98,(-0.03692898080086573+2.6645352591003756e-17j)
9.97875,(0.0695781880379565+6.217248937900877e-18j)
9.9775,(0.16272810497017395-2.5757174171303633e-17j)
9.97625,(0.17930326828146964-2.9309887850104134e-17j)
9.975,(0.08830399186091666+1.4210854715202004e-17j)
9.97375,(-0.07968735351814596-2.3092638912203258e-17j)
9.9725,(-0.2344583575362541+5.240252676230739e-17j)
9.97125,(-0.26914703704346415+3.552713678800501e-18j)
9.97,(-0.13938085137904707+7.815970093361102e-17j)
9.96875,(0.08218119836472863+7.993605777301128e-18j)
9.9675,(0.2514462799976065+7.993605777301128e-18j)
9.96625,(0.2738939736547555-1.1723955140041654e-16j)
9.965,(0.17261027624923433-6.072919944699607e-17j)
9.96375,(0.032653824071954704+2.176037128265307e-17j)
9.9625,(-0.09092703381386434-3.019806626980426e-17j)
9.96125,(-0.18333093905920037+7.105427357601002e-18j)
9.96,(-0.21944663418502341+1.1546319456101629e-17j)
9.95875,(-0.1628344166472549-2.042810365310288e-17j)
9.9575,(-0.028111352117866653+7.460698725481052e-17j)
9.95625,(0.0990284239792187+4.440892098500626e-18j)
