x_axis,channel_2
10.0,(-0.05022076609355514-3.552713678800501e-18j)
9.99875,(0.011854605673748126+3.375077994860476e-17j)
9.9975,(0.08833035773197946+1.1546319456101629e-17j)
9.99625,(0.09164411160443157+1.9539925233402754e-17j)
9.995,(0.011466980865236362-1.0658141036401503e-17j)
9.99375,(-0.06507828042028042-1.7763568394002505e-17j)
9.9925,(-0.05653163852102301-1.687538997430238e-17j)
9.99125,(0.014405550424498828-1.2434497875801754e-17j)
9.99,(0.052623121000595276-5.3290705182007515e-18j)
9.98875,(0.011867438150524918+3.819167204710539e-17j)
9.9875,(-0.05013438863650694+2.042810365310288e-17j)
9.98625,(-0.051548568089772304-2.3092638912203258e-17j)
9.985,(0.005350698733140206-7.105427357601002e-18j)
9.98375,(0.039479678102032435-3.197442310920451e-17j)
9.9825,(0.0013393088882736564-1.4210854715202004e-17j)
9.98125,(-0.05812047805350458+7.105427357601002e-18j)
9.98,(-0.05206808920004696+3.730349362740526e-17j)
9.97875,(0.02755019520780978+2.5757174171303633e-17j)
9.9775,(0.0947277333769197-6.217248937900877e-18j)
9.97625,(0.07426086297658378-8.881784197001253e-18j)
9.975,(-0.00715864078837933+7.993605777301128e-18j)
9.97375,(-0.05764322860764672+7.105427357601002e-18j)
9.9725,(-0.03331249852268299+1.0658141036401503e-17j)
9.97125,(0.017207483600252843+1.4210854715202004e-17j)
9.97,(0.02632684544167833+1.2434497875801754e-17j)
9.96875,(-0.005531827891593892+2.1316282072803006e-17j)
9.9675,(-0.023318368417658206+3.819167204710539e-17j)
9.96625,(-0.0036636052721867856-2.1316282072803006e-17j)
9.965,(0.01109695548158759-5.1514348342607266e-17j)
9.96375,(-0.020285173800168928-3.907985046680551e-17j)
9.9625,(-0.0660853001719561+1.9539925233402754e-17j)
9.96125,(-0.05287433598125847-9.769962616701377e-18j)
9.96,(0.03245774674647262+5.684341886080802e-17j)
9.95875,(0.10737824769630921-1.2434497875801754e-17j)
9.9575,(0.08447532070252155-2.6645352591003758e-18j)
9.95625,(-0.01824390283670715-2.3092638912203258e-17j)
9.955,(-0.08953083321856661-2.6645352591003756e-17j)
9.95375,(-0.05255051713731052+3.197442310920451e-17j)
9.9525,(0.04555066905388535+2.842170943040401e-17j)
9.95125,(0.09123221811305042+1.5987211554602256e-17j)
9.95,(0.03732739632683358-2.1316282072803006e-17j)
9.94875,(-0.05000493235307527-1.4210854715202004e-17j)
9.9475,(-0.07907962902895639-3.6415315207705136e-17j)
9.94625,(-0.03829440031204217+1.5987211554602256e-17j)
9.945,(0.007797695426148515-5.3290705182007515e-18j)
9.94375,(0.011392131086593609-2.1316282072803006e-17j)
9.9425,(-0.00533876697190013+4.263256414560601e-17j)
